CID X LOC_NUM X VENDOR,target
ICE2DJP X 5.0 X 79,1
ICE2DJP X 5.0 X 106,1
ICE2DJP X 5.0 X 216,1
ICE2DJP X 5.0 X 855,1
ICE2DJP X 5.0 X 104,1
ICE2DJP X 5.0 X 679,1
ICE2DJP X 5.0 X 303,1
ICE2DJP X 5.0 X 161,1
ICE2DJP X 5.0 X 573,1
FWNUI71 X 0.0 X 195,1
FWNUI71 X 0.0 X 159,1
FWNUI71 X 0.0 X 105,1
FWNUI71 X 0.0 X 78,1
FWNUI71 X 0.0 X 86,1
FWNUI71 X 0.0 X 84,1
FWNUI71 X 0.0 X 92,1
FWNUI71 X 0.0 X 386,1
FWNUI71 X 0.0 X 113,1
FWNUI71 X 0.0 X 79,1
FWNUI71 X 0.0 X 106,1
FWNUI71 X 0.0 X 104,1
FWNUI71 X 0.0 X 83,1
FWNUI71 X 0.0 X 85,1
FWNUI71 X 1.0 X 110,1
FWNUI71 X 1.0 X 188,1
FWNUI71 X 1.0 X 195,1
FWNUI71 X 1.0 X 75,1
FWNUI71 X 1.0 X 4,1
FWNUI71 X 1.0 X 159,1
FWNUI71 X 1.0 X 105,1
FWNUI71 X 1.0 X 78,1
FWNUI71 X 1.0 X 86,1
FWNUI71 X 1.0 X 84,1
FWNUI71 X 1.0 X 193,1
FWNUI71 X 1.0 X 191,1
FWNUI71 X 1.0 X 92,1
FWNUI71 X 1.0 X 20,1
FWNUI71 X 1.0 X 386,1
FWNUI71 X 1.0 X 82,1
FWNUI71 X 1.0 X 113,1
FWNUI71 X 1.0 X 79,1
FWNUI71 X 1.0 X 23,1
FWNUI71 X 1.0 X 33,1
FWNUI71 X 1.0 X 157,1
FWNUI71 X 1.0 X 189,1
FWNUI71 X 1.0 X 104,1
FWNUI71 X 1.0 X 13,1
FWNUI71 X 1.0 X 83,1
FWNUI71 X 1.0 X 90,1
FWNUI71 X 1.0 X 85,1
FWNUI71 X 1.0 X 134,1
FWNUI71 X 1.0 X 192,1
FWNUI71 X 1.0 X 303,1
FWNUI71 X 1.0 X 81,1
FWNUI71 X 1.0 X 221,1
FWNUI71 X 2.0 X 4,1
FWNUI71 X 2.0 X 159,1
FWNUI71 X 2.0 X 78,1
FWNUI71 X 2.0 X 92,1
FWNUI71 X 2.0 X 20,1
FWNUI71 X 2.0 X 113,1
FWNUI71 X 2.0 X 79,1
FWNUI71 X 2.0 X 106,1
FWNUI71 X 2.0 X 33,1
FWNUI71 X 2.0 X 104,1
FWNUI71 X 2.0 X 547,1
FWNUI71 X 2.0 X 134,1
LRX7BCH X 0.0 X 159,1
LRX7BCH X 0.0 X 105,1
LRX7BCH X 0.0 X 78,1
LRX7BCH X 0.0 X 86,1
LRX7BCH X 0.0 X 84,1
LRX7BCH X 0.0 X 113,1
LRX7BCH X 0.0 X 79,1
LRX7BCH X 0.0 X 106,1
LRX7BCH X 0.0 X 33,1
LRX7BCH X 0.0 X 83,1
LRX7BCH X 0.0 X 90,1
LRX7BCH X 0.0 X 85,1
LRX7BCH X 1.0 X 858,1
LRX7BCH X 1.0 X 78,1
LRX7BCH X 1.0 X 113,1
LRX7BCH X 1.0 X 79,1
LRX7BCH X 1.0 X 28,1
LRX7BCH X 1.0 X 106,1
LRX7BCH X 1.0 X 33,1
D96DHMD X 0.0 X 113,1
D96DHMD X 0.0 X 79,1
D96DHMD X 1.0 X 858,1
D96DHMD X 1.0 X 159,1
D96DHMD X 1.0 X 78,1
D96DHMD X 1.0 X 92,1
D96DHMD X 1.0 X 113,1
D96DHMD X 1.0 X 79,1
D96DHMD X 1.0 X 106,1
D96DHMD X 1.0 X 33,1
D96DHMD X 1.0 X 104,1
D96DHMD X 2.0 X 110,1
D96DHMD X 2.0 X 858,1
D96DHMD X 2.0 X 195,1
D96DHMD X 2.0 X 75,1
D96DHMD X 2.0 X 159,1
D96DHMD X 2.0 X 78,1
D96DHMD X 2.0 X 191,1
D96DHMD X 2.0 X 92,1
D96DHMD X 2.0 X 113,1
D96DHMD X 2.0 X 79,1
D96DHMD X 2.0 X 28,1
D96DHMD X 2.0 X 106,1
D96DHMD X 2.0 X 33,1
D96DHMD X 2.0 X 157,1
D96DHMD X 2.0 X 104,1
D96DHMD X 2.0 X 134,1
D96DHMD X 2.0 X 192,1
88Q8Y5V X 0.0 X 159,1
88Q8Y5V X 0.0 X 105,1
88Q8Y5V X 0.0 X 78,1
88Q8Y5V X 0.0 X 86,1
88Q8Y5V X 0.0 X 84,1
88Q8Y5V X 0.0 X 113,1
88Q8Y5V X 0.0 X 79,1
88Q8Y5V X 0.0 X 106,1
88Q8Y5V X 0.0 X 83,1
88Q8Y5V X 0.0 X 85,1
F2PO9F9 X 0.0 X 113,1
F2PO9F9 X 0.0 X 79,1
UD0G53Z X 0.0 X 105,1
UD0G53Z X 0.0 X 86,1
UD0G53Z X 0.0 X 84,1
UD0G53Z X 0.0 X 193,1
UD0G53Z X 0.0 X 386,1
UD0G53Z X 0.0 X 189,1
UD0G53Z X 0.0 X 83,1
UD0G53Z X 0.0 X 85,1
UD0G53Z X 1.0 X 105,1
UD0G53Z X 1.0 X 84,1
UD0G53Z X 1.0 X 386,1
UD0G53Z X 1.0 X 189,1
UD0G53Z X 1.0 X 83,1
UD0G53Z X 1.0 X 849,1
UD0G53Z X 2.0 X 110,1
UD0G53Z X 2.0 X 259,1
UD0G53Z X 2.0 X 195,1
UD0G53Z X 2.0 X 75,1
UD0G53Z X 2.0 X 4,1
UD0G53Z X 2.0 X 159,1
UD0G53Z X 2.0 X 78,1
UD0G53Z X 2.0 X 265,1
UD0G53Z X 2.0 X 191,1
UD0G53Z X 2.0 X 20,1
UD0G53Z X 2.0 X 578,1
UD0G53Z X 2.0 X 66,1
UD0G53Z X 2.0 X 113,1
UD0G53Z X 2.0 X 79,1
UD0G53Z X 2.0 X 23,1
UD0G53Z X 2.0 X 28,1
UD0G53Z X 2.0 X 106,1
UD0G53Z X 2.0 X 33,1
UD0G53Z X 2.0 X 157,1
UD0G53Z X 2.0 X 67,1
UD0G53Z X 2.0 X 679,1
UD0G53Z X 2.0 X 13,1
UD0G53Z X 2.0 X 115,1
UD0G53Z X 2.0 X 76,1
UD0G53Z X 2.0 X 134,1
UD0G53Z X 2.0 X 192,1
MXCWQ97 X 0.0 X 4,1
MXCWQ97 X 0.0 X 159,1
MXCWQ97 X 0.0 X 105,1
MXCWQ97 X 0.0 X 78,1
MXCWQ97 X 0.0 X 84,1
MXCWQ97 X 0.0 X 92,1
MXCWQ97 X 0.0 X 20,1
MXCWQ97 X 0.0 X 113,1
MXCWQ97 X 0.0 X 79,1
MXCWQ97 X 0.0 X 33,1
MXCWQ97 X 0.0 X 104,1
MXCWQ97 X 0.0 X 83,1
MXCWQ97 X 1.0 X 195,1
MXCWQ97 X 1.0 X 75,1
MXCWQ97 X 1.0 X 4,1
MXCWQ97 X 1.0 X 159,1
MXCWQ97 X 1.0 X 105,1
MXCWQ97 X 1.0 X 78,1
MXCWQ97 X 1.0 X 84,1
MXCWQ97 X 1.0 X 92,1
MXCWQ97 X 1.0 X 20,1
MXCWQ97 X 1.0 X 386,1
MXCWQ97 X 1.0 X 113,1
MXCWQ97 X 1.0 X 79,1
MXCWQ97 X 1.0 X 106,1
MXCWQ97 X 1.0 X 33,1
MXCWQ97 X 1.0 X 157,1
MXCWQ97 X 1.0 X 104,1
MXCWQ97 X 1.0 X 83,1
MXCWQ97 X 1.0 X 90,1
MXCWQ97 X 1.0 X 85,1
MXCWQ97 X 1.0 X 134,1
MXCWQ97 X 1.0 X 192,1
MXCWQ97 X 2.0 X 4,1
MXCWQ97 X 2.0 X 159,1
MXCWQ97 X 2.0 X 78,1
MXCWQ97 X 2.0 X 191,1
MXCWQ97 X 2.0 X 92,1
MXCWQ97 X 2.0 X 20,1
MXCWQ97 X 2.0 X 82,1
MXCWQ97 X 2.0 X 113,1
MXCWQ97 X 2.0 X 79,1
MXCWQ97 X 2.0 X 33,1
MXCWQ97 X 2.0 X 104,1
MXCWQ97 X 2.0 X 134,1
MXCWQ97 X 2.0 X 192,1
MXCWQ97 X 2.0 X 81,1
LMOSPO9 X 0.0 X 159,1
LMOSPO9 X 0.0 X 105,1
LMOSPO9 X 0.0 X 78,1
LMOSPO9 X 0.0 X 84,1
LMOSPO9 X 0.0 X 113,1
LMOSPO9 X 0.0 X 79,1
LMOSPO9 X 0.0 X 106,1
LMOSPO9 X 0.0 X 83,1
LMOSPO9 X 1.0 X 110,1
LMOSPO9 X 1.0 X 858,1
LMOSPO9 X 1.0 X 78,1
LMOSPO9 X 1.0 X 113,1
LMOSPO9 X 1.0 X 79,1
LMOSPO9 X 1.0 X 28,1
LMOSPO9 X 1.0 X 106,1
EI4ZPYN X 0.0 X 159,1
EI4ZPYN X 0.0 X 105,1
EI4ZPYN X 0.0 X 78,1
EI4ZPYN X 0.0 X 86,1
EI4ZPYN X 0.0 X 84,1
EI4ZPYN X 0.0 X 113,1
EI4ZPYN X 0.0 X 79,1
EI4ZPYN X 0.0 X 106,1
EI4ZPYN X 0.0 X 83,1
EI4ZPYN X 0.0 X 85,1
EI4ZPYN X 1.0 X 4,1
EI4ZPYN X 1.0 X 159,1
EI4ZPYN X 1.0 X 191,1
EI4ZPYN X 1.0 X 92,1
EI4ZPYN X 1.0 X 20,1
EI4ZPYN X 1.0 X 841,1
EI4ZPYN X 1.0 X 33,1
EI4ZPYN X 1.0 X 104,1
EI4ZPYN X 1.0 X 192,1
EI4ZPYN X 2.0 X 110,1
EI4ZPYN X 2.0 X 188,1
EI4ZPYN X 2.0 X 195,1
EI4ZPYN X 2.0 X 75,1
EI4ZPYN X 2.0 X 4,1
EI4ZPYN X 2.0 X 159,1
EI4ZPYN X 2.0 X 78,1
EI4ZPYN X 2.0 X 193,1
EI4ZPYN X 2.0 X 191,1
EI4ZPYN X 2.0 X 92,1
EI4ZPYN X 2.0 X 20,1
EI4ZPYN X 2.0 X 82,1
EI4ZPYN X 2.0 X 113,1
EI4ZPYN X 2.0 X 79,1
EI4ZPYN X 2.0 X 23,1
EI4ZPYN X 2.0 X 28,1
EI4ZPYN X 2.0 X 106,1
EI4ZPYN X 2.0 X 33,1
EI4ZPYN X 2.0 X 157,1
EI4ZPYN X 2.0 X 189,1
EI4ZPYN X 2.0 X 104,1
EI4ZPYN X 2.0 X 176,1
EI4ZPYN X 2.0 X 76,1
EI4ZPYN X 2.0 X 134,1
EI4ZPYN X 2.0 X 192,1
EI4ZPYN X 2.0 X 81,1
TWTAOB3 X 0.0 X 159,1
TWTAOB3 X 0.0 X 105,1
TWTAOB3 X 0.0 X 78,1
TWTAOB3 X 0.0 X 84,1
TWTAOB3 X 0.0 X 92,1
TWTAOB3 X 0.0 X 386,1
TWTAOB3 X 0.0 X 113,1
TWTAOB3 X 0.0 X 79,1
TWTAOB3 X 0.0 X 106,1
TWTAOB3 X 0.0 X 104,1
TWTAOB3 X 0.0 X 83,1
TWTAOB3 X 1.0 X 110,1
TWTAOB3 X 1.0 X 159,1
TWTAOB3 X 1.0 X 105,1
TWTAOB3 X 1.0 X 78,1
TWTAOB3 X 1.0 X 113,1
TWTAOB3 X 1.0 X 79,1
TWTAOB3 X 1.0 X 106,1
TWTAOB3 X 1.0 X 33,1
BPEC7PT X 0.0 X 199,1
BPEC7PT X 0.0 X 855,1
BPEC7PT X 0.0 X 573,1
MABD8M5 X 0.0 X 195,1
MABD8M5 X 0.0 X 159,1
MABD8M5 X 0.0 X 105,1
MABD8M5 X 0.0 X 78,1
MABD8M5 X 0.0 X 86,1
MABD8M5 X 0.0 X 84,1
MABD8M5 X 0.0 X 386,1
MABD8M5 X 0.0 X 113,1
MABD8M5 X 0.0 X 79,1
MABD8M5 X 0.0 X 106,1
MABD8M5 X 0.0 X 83,1
MABD8M5 X 0.0 X 85,1
MABD8M5 X 1.0 X 105,1
MABD8M5 X 1.0 X 86,1
MABD8M5 X 1.0 X 84,1
MABD8M5 X 1.0 X 386,1
MABD8M5 X 1.0 X 83,1
MABD8M5 X 1.0 X 85,1
MABD8M5 X 1.0 X 356,1
MABD8M5 X 1.0 X 459,1
MABD8M5 X 1.0 X 537,1
XL2LBC7 X 0.0 X 195,1
XL2LBC7 X 0.0 X 4,1
XL2LBC7 X 0.0 X 159,1
XL2LBC7 X 0.0 X 105,1
XL2LBC7 X 0.0 X 78,1
XL2LBC7 X 0.0 X 84,1
XL2LBC7 X 0.0 X 193,1
XL2LBC7 X 0.0 X 92,1
XL2LBC7 X 0.0 X 20,1
XL2LBC7 X 0.0 X 113,1
XL2LBC7 X 0.0 X 79,1
XL2LBC7 X 0.0 X 33,1
XL2LBC7 X 0.0 X 104,1
XL2LBC7 X 0.0 X 83,1
XL2LBC7 X 0.0 X 134,1
XL2LBC7 X 1.0 X 78,1
XL2LBC7 X 1.0 X 113,1
XL2LBC7 X 1.0 X 79,1
2S79UPJ X 0.0 X 84,1
2S79UPJ X 0.0 X 386,1
2S79UPJ X 0.0 X 849,1
2S79UPJ X 0.0 X 356,1
I170OY4 X 0.0 X 195,1
I170OY4 X 0.0 X 4,1
I170OY4 X 0.0 X 159,1
I170OY4 X 0.0 X 105,1
I170OY4 X 0.0 X 78,1
I170OY4 X 0.0 X 84,1
I170OY4 X 0.0 X 92,1
I170OY4 X 0.0 X 20,1
I170OY4 X 0.0 X 113,1
I170OY4 X 0.0 X 79,1
I170OY4 X 0.0 X 33,1
I170OY4 X 0.0 X 104,1
I170OY4 X 0.0 X 83,1
I170OY4 X 1.0 X 159,1
I170OY4 X 1.0 X 78,1
I170OY4 X 1.0 X 20,1
I170OY4 X 1.0 X 113,1
I170OY4 X 1.0 X 79,1
I170OY4 X 1.0 X 33,1
I170OY4 X 1.0 X 104,1
WMD3LKI X 0.0 X 199,1
WMD3LKI X 0.0 X 855,1
WMD3LKI X 0.0 X 192,1
WMD3LKI X 0.0 X 573,1
AZVBPGG X 0.0 X 110,1
AZVBPGG X 0.0 X 78,1
AZVBPGG X 0.0 X 113,1
AZVBPGG X 0.0 X 79,1
AZVBPGG X 0.0 X 28,1
AZVBPGG X 0.0 X 106,1
AZVBPGG X 0.0 X 856,1
AZVBPGG X 1.0 X 105,1
AZVBPGG X 1.0 X 78,1
AZVBPGG X 1.0 X 86,1
AZVBPGG X 1.0 X 84,1
AZVBPGG X 1.0 X 79,1
AZVBPGG X 1.0 X 106,1
AZVBPGG X 1.0 X 83,1
TMKIZFG X 0.0 X 159,1
TMKIZFG X 0.0 X 105,1
TMKIZFG X 0.0 X 78,1
TMKIZFG X 0.0 X 84,1
TMKIZFG X 0.0 X 113,1
TMKIZFG X 0.0 X 79,1
TMKIZFG X 0.0 X 106,1
TMKIZFG X 0.0 X 83,1
TMKIZFG X 1.0 X 110,1
TMKIZFG X 1.0 X 78,1
TMKIZFG X 1.0 X 113,1
TMKIZFG X 1.0 X 79,1
TMKIZFG X 1.0 X 28,1
TMKIZFG X 1.0 X 106,1
TMKIZFG X 1.0 X 33,1
TMKIZFG X 2.0 X 110,1
TMKIZFG X 2.0 X 75,1
TMKIZFG X 2.0 X 159,1
TMKIZFG X 2.0 X 78,1
TMKIZFG X 2.0 X 20,1
TMKIZFG X 2.0 X 578,1
TMKIZFG X 2.0 X 113,1
TMKIZFG X 2.0 X 79,1
TMKIZFG X 2.0 X 28,1
TMKIZFG X 2.0 X 106,1
TMKIZFG X 2.0 X 33,1
TMKIZFG X 2.0 X 157,1
TMKIZFG X 2.0 X 76,1
TMKIZFG X 2.0 X 134,1
Q9MFT2D X 0.0 X 195,1
Q9MFT2D X 0.0 X 159,1
Q9MFT2D X 0.0 X 105,1
Q9MFT2D X 0.0 X 84,1
Q9MFT2D X 0.0 X 193,1
Q9MFT2D X 0.0 X 92,1
Q9MFT2D X 0.0 X 20,1
Q9MFT2D X 0.0 X 33,1
Q9MFT2D X 0.0 X 104,1
Q9MFT2D X 0.0 X 83,1
Q9MFT2D X 1.0 X 4,1
Q9MFT2D X 1.0 X 159,1
Q9MFT2D X 1.0 X 92,1
Q9MFT2D X 1.0 X 20,1
Q9MFT2D X 1.0 X 23,1
Q9MFT2D X 1.0 X 841,1
Q9MFT2D X 1.0 X 33,1
Q9MFT2D X 1.0 X 104,1
Q9MFT2D X 1.0 X 13,1
9PF2G18 X 0.0 X 858,1
9PF2G18 X 0.0 X 113,1
9PF2G18 X 1.0 X 159,1
9PF2G18 X 1.0 X 78,1
9PF2G18 X 1.0 X 92,1
9PF2G18 X 1.0 X 113,1
9PF2G18 X 1.0 X 79,1
9PF2G18 X 1.0 X 106,1
9PF2G18 X 1.0 X 33,1
9PF2G18 X 1.0 X 104,1
EA5NPYE X 0.0 X 195,1
EA5NPYE X 0.0 X 4,1
EA5NPYE X 0.0 X 159,1
EA5NPYE X 0.0 X 105,1
EA5NPYE X 0.0 X 78,1
EA5NPYE X 0.0 X 84,1
EA5NPYE X 0.0 X 92,1
EA5NPYE X 0.0 X 20,1
EA5NPYE X 0.0 X 113,1
EA5NPYE X 0.0 X 79,1
EA5NPYE X 0.0 X 33,1
EA5NPYE X 0.0 X 104,1
EA5NPYE X 0.0 X 83,1
EA5NPYE X 1.0 X 188,1
EA5NPYE X 1.0 X 195,1
EA5NPYE X 1.0 X 4,1
EA5NPYE X 1.0 X 159,1
EA5NPYE X 1.0 X 193,1
EA5NPYE X 1.0 X 191,1
EA5NPYE X 1.0 X 92,1
EA5NPYE X 1.0 X 20,1
EA5NPYE X 1.0 X 841,1
EA5NPYE X 1.0 X 28,1
EA5NPYE X 1.0 X 33,1
EA5NPYE X 1.0 X 216,1
EA5NPYE X 1.0 X 104,1
EA5NPYE X 1.0 X 192,1
EA5NPYE X 1.0 X 221,1
EA5NPYE X 2.0 X 110,1
EA5NPYE X 2.0 X 188,1
EA5NPYE X 2.0 X 4,1
EA5NPYE X 2.0 X 159,1
EA5NPYE X 2.0 X 78,1
EA5NPYE X 2.0 X 191,1
EA5NPYE X 2.0 X 92,1
EA5NPYE X 2.0 X 20,1
EA5NPYE X 2.0 X 82,1
EA5NPYE X 2.0 X 113,1
EA5NPYE X 2.0 X 79,1
EA5NPYE X 2.0 X 841,1
EA5NPYE X 2.0 X 106,1
EA5NPYE X 2.0 X 33,1
EA5NPYE X 2.0 X 104,1
EA5NPYE X 2.0 X 176,1
EA5NPYE X 2.0 X 134,1
EA5NPYE X 2.0 X 192,1
EA5NPYE X 2.0 X 81,1
EA5NPYE X 2.0 X 221,1
EA5NPYE X 3.0 X 110,1
EA5NPYE X 3.0 X 188,1
EA5NPYE X 3.0 X 310,1
EA5NPYE X 3.0 X 195,1
EA5NPYE X 3.0 X 75,1
EA5NPYE X 3.0 X 4,1
EA5NPYE X 3.0 X 159,1
EA5NPYE X 3.0 X 78,1
EA5NPYE X 3.0 X 193,1
EA5NPYE X 3.0 X 191,1
EA5NPYE X 3.0 X 92,1
EA5NPYE X 3.0 X 20,1
EA5NPYE X 3.0 X 82,1
EA5NPYE X 3.0 X 113,1
EA5NPYE X 3.0 X 79,1
EA5NPYE X 3.0 X 28,1
EA5NPYE X 3.0 X 106,1
EA5NPYE X 3.0 X 33,1
EA5NPYE X 3.0 X 157,1
EA5NPYE X 3.0 X 180,1
EA5NPYE X 3.0 X 189,1
EA5NPYE X 3.0 X 104,1
EA5NPYE X 3.0 X 176,1
EA5NPYE X 3.0 X 134,1
EA5NPYE X 3.0 X 192,1
EA5NPYE X 3.0 X 81,1
EA5NPYE X 3.0 X 221,1
WPJ2H4R X 0.0 X 110,1
WPJ2H4R X 0.0 X 105,1
WPJ2H4R X 0.0 X 78,1
WPJ2H4R X 0.0 X 578,1
WPJ2H4R X 0.0 X 113,1
WPJ2H4R X 0.0 X 79,1
WPJ2H4R X 0.0 X 28,1
WPJ2H4R X 0.0 X 106,1
WPJ2H4R X 1.0 X 110,1
WPJ2H4R X 1.0 X 78,1
WPJ2H4R X 1.0 X 578,1
WPJ2H4R X 1.0 X 113,1
WPJ2H4R X 1.0 X 79,1
WPJ2H4R X 1.0 X 28,1
WPJ2H4R X 1.0 X 106,1
WPJ2H4R X 1.0 X 856,1
W1HI4ZD X 0.0 X 195,1
W1HI4ZD X 0.0 X 4,1
W1HI4ZD X 0.0 X 159,1
W1HI4ZD X 0.0 X 105,1
W1HI4ZD X 0.0 X 78,1
W1HI4ZD X 0.0 X 84,1
W1HI4ZD X 0.0 X 193,1
W1HI4ZD X 0.0 X 92,1
W1HI4ZD X 0.0 X 20,1
W1HI4ZD X 0.0 X 113,1
W1HI4ZD X 0.0 X 79,1
W1HI4ZD X 0.0 X 33,1
W1HI4ZD X 0.0 X 104,1
W1HI4ZD X 0.0 X 83,1
W1HI4ZD X 0.0 X 134,1
W1HI4ZD X 1.0 X 110,1
W1HI4ZD X 1.0 X 259,1
W1HI4ZD X 1.0 X 195,1
W1HI4ZD X 1.0 X 75,1
W1HI4ZD X 1.0 X 4,1
W1HI4ZD X 1.0 X 159,1
W1HI4ZD X 1.0 X 105,1
W1HI4ZD X 1.0 X 78,1
W1HI4ZD X 1.0 X 265,1
W1HI4ZD X 1.0 X 84,1
W1HI4ZD X 1.0 X 20,1
W1HI4ZD X 1.0 X 578,1
W1HI4ZD X 1.0 X 66,1
W1HI4ZD X 1.0 X 113,1
W1HI4ZD X 1.0 X 79,1
W1HI4ZD X 1.0 X 23,1
W1HI4ZD X 1.0 X 28,1
W1HI4ZD X 1.0 X 106,1
W1HI4ZD X 1.0 X 33,1
W1HI4ZD X 1.0 X 157,1
W1HI4ZD X 1.0 X 67,1
W1HI4ZD X 1.0 X 679,1
W1HI4ZD X 1.0 X 13,1
W1HI4ZD X 1.0 X 83,1
W1HI4ZD X 1.0 X 115,1
W1HI4ZD X 1.0 X 134,1
W1HI4ZD X 1.0 X 192,1
LN5O1CB X 0.0 X 110,1
LN5O1CB X 0.0 X 78,1
LN5O1CB X 0.0 X 113,1
LN5O1CB X 0.0 X 79,1
LN5O1CB X 0.0 X 28,1
LN5O1CB X 0.0 X 106,1
LN5O1CB X 0.0 X 856,1
LN5O1CB X 1.0 X 195,1
LN5O1CB X 1.0 X 75,1
LN5O1CB X 1.0 X 4,1
LN5O1CB X 1.0 X 159,1
LN5O1CB X 1.0 X 105,1
LN5O1CB X 1.0 X 78,1
LN5O1CB X 1.0 X 84,1
LN5O1CB X 1.0 X 92,1
LN5O1CB X 1.0 X 20,1
LN5O1CB X 1.0 X 386,1
LN5O1CB X 1.0 X 113,1
LN5O1CB X 1.0 X 79,1
LN5O1CB X 1.0 X 106,1
LN5O1CB X 1.0 X 33,1
LN5O1CB X 1.0 X 157,1
LN5O1CB X 1.0 X 104,1
LN5O1CB X 1.0 X 83,1
LN5O1CB X 1.0 X 90,1
LN5O1CB X 1.0 X 85,1
LN5O1CB X 1.0 X 134,1
LN5O1CB X 1.0 X 192,1
LN5O1CB X 1.0 X 303,1
LN5O1CB X 2.0 X 110,1
LN5O1CB X 2.0 X 188,1
LN5O1CB X 2.0 X 259,1
LN5O1CB X 2.0 X 195,1
LN5O1CB X 2.0 X 75,1
LN5O1CB X 2.0 X 4,1
LN5O1CB X 2.0 X 159,1
LN5O1CB X 2.0 X 300,1
LN5O1CB X 2.0 X 105,1
LN5O1CB X 2.0 X 401,1
LN5O1CB X 2.0 X 78,1
LN5O1CB X 2.0 X 84,1
LN5O1CB X 2.0 X 193,1
LN5O1CB X 2.0 X 191,1
LN5O1CB X 2.0 X 92,1
LN5O1CB X 2.0 X 20,1
LN5O1CB X 2.0 X 82,1
LN5O1CB X 2.0 X 225,1
LN5O1CB X 2.0 X 578,1
LN5O1CB X 2.0 X 66,1
LN5O1CB X 2.0 X 113,1
LN5O1CB X 2.0 X 79,1
LN5O1CB X 2.0 X 23,1
LN5O1CB X 2.0 X 28,1
LN5O1CB X 2.0 X 106,1
LN5O1CB X 2.0 X 33,1
LN5O1CB X 2.0 X 157,1
LN5O1CB X 2.0 X 180,1
LN5O1CB X 2.0 X 216,1
LN5O1CB X 2.0 X 67,1
LN5O1CB X 2.0 X 189,1
LN5O1CB X 2.0 X 104,1
LN5O1CB X 2.0 X 679,1
LN5O1CB X 2.0 X 13,1
